Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,18-29 years,0,3,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,25-34 years,0,4,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,30-49 years,0,6,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,35-44 years,0,3,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,50-64 years,1,11,1,1,0,1,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,55-64 years,0,8,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,65-74 years,2,9,1,1,0,2,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,75-84 years,3,12,3,2,0,4,
02/03/2021,01/01/2020,01/30/2021,United States,Unknown,85 years and over,2,31,1,1,0,2,
02/03/2021,01/01/2020,01/30/2021,Alabama,All Sexes,All Ages,"7,804","66,547","5,776","2,604",143,"11,106",
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,All Ages,"4,182","34,609","3,149","1,431",87,"5,979",
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,Under 1 year,,222,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,0-17 years,,422,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,1-4 years,0,48,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,5-14 years,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,15-24 years,,539,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,18-29 years,18,881,13,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,25-34 years,30,948,34,12,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,30-49 years,195,"2,920",171,66,,305,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,35-44 years,86,"1,380",76,30,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,45-54 years,240,"2,504",175,77,,345,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,50-64 years,768,"7,373",568,242,30,"1,123",
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,55-64 years,621,"5,884",464,194,25,915,
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,65-74 years,"1,164","8,456",881,410,26,"1,659",
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,75-84 years,"1,242","8,569",909,427,13,"1,734",
02/03/2021,01/01/2020,01/30/2021,Alabama,Male,85 years and over,794,"5,988",603,281,,"1,122",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,All Ages,"3,622","31,938","2,627","1,173",56,"5,127",
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,Under 1 year,,159,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,0-17 years,,246,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,1-4 years,0,35,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,5-14 years,0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,15-24 years,,185,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,18-29 years,,315,14,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,25-34 years,16,419,21,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,30-49 years,134,"1,717",101,40,,201,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,35-44 years,60,806,43,15,,91,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,45-54 years,183,"1,672",117,56,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,50-64 years,547,"4,929",443,170,18,837,
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,55-64 years,424,"3,896",368,132,12,671,
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,65-74 years,797,"6,217",588,270,15,"1,130",
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,75-84 years,"1,028","8,403",773,371,10,"1,439",
02/03/2021,01/01/2020,01/30/2021,Alabama,Female,85 years and over,"1,109","10,111",702,319,,"1,495",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,All Ages,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,All Sexes,All Ages,249,"4,942",302,137,,423,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,All Ages,143,"2,847",166,73,,241,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,Under 1 year,0,28,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,0-17 years,0,67,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,5-14 years,0,22,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,15-24 years,0,90,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,18-29 years,0,133,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,25-34 years,0,131,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,30-49 years,10,328,18,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,35-44 years,,167,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,45-54 years,,226,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,50-64 years,21,658,28,,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,55-64 years,17,518,25,,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,65-74 years,40,632,37,20,0,57,
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,75-84 years,45,630,47,24,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Male,85 years and over,27,399,35,15,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,All Ages,106,"2,095",136,64,,182,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,Under 1 year,0,13,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,0-17 years,0,30,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,15-24 years,,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,18-29 years,,62,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,25-34 years,,83,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,30-49 years,,222,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,35-44 years,,101,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,45-54 years,,144,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,50-64 years,18,376,27,10,0,35,
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,55-64 years,16,304,22,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,65-74 years,21,431,29,15,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,75-84 years,26,441,28,17,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Alaska,Female,85 years and over,33,533,38,17,0,54,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,All Ages,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,All Sexes,All Ages,"11,512","82,697","10,675","6,783",149,"15,551",
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,All Ages,"6,778","45,545","6,254","4,085",80,"9,026",
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,Under 1 year,0,224,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,0-17 years,,503,,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,1-4 years,,59,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,5-14 years,,79,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,15-24 years,23,881,21,10,,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,18-29 years,53,"1,472",50,30,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,25-34 years,89,"1,603",74,50,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,30-49 years,438,"4,025",332,244,,532,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,35-44 years,196,"1,904",149,107,,241,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,45-54 years,486,"3,017",389,290,,593,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,50-64 years,"1,337","8,341","1,195",809,22,"1,745",
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,55-64 years,"1,036","6,574",947,626,15,"1,372",
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,65-74 years,"1,617","9,951","1,528","1,015",19,"2,149",
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,75-84 years,"1,977","11,640","1,863","1,214",15,"2,640",
02/03/2021,01/01/2020,01/30/2021,Arizona,Male,85 years and over,"1,350","9,613","1,277",771,12,"1,868",
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,All Ages,"4,734","37,152","4,421","2,698",69,"6,525",
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,Under 1 year,0,181,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,0-17 years,,346,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,1-4 years,0,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,5-14 years,,69,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,15-24 years,,268,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,18-29 years,31,484,23,14,0,40,
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,25-34 years,53,629,45,27,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,30-49 years,249,"1,974",208,140,,326,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,35-44 years,111,913,76,50,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,45-54 years,233,"1,706",227,152,,315,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,50-64 years,727,"4,971",697,438,15,"1,000",
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,55-64 years,601,"3,962",570,357,11,825,
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,65-74 years,"1,040","6,938","1,027",653,19,"1,433",
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,75-84 years,"1,307","9,638","1,241",763,15,"1,800",
02/03/2021,01/01/2020,01/30/2021,Arizona,Female,85 years and over,"1,378","12,801","1,218",688,10,"1,918",
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,All Ages,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
02/03/2021,01/01/2020,01/30/2021,Arkansas,All Sexes,All Ages,"4,721","40,215","4,349","2,154",103,"7,012",
02/03/2021,01/01/2020,01/30/2021,Arkansas,Male,All Ages,"2,406","20,919","2,314","1,177",52,"3,593",
02/03/2021,01/01/2020,01/30/2021,Arkansas,Male,Under 1 year,0,141,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arkansas,Male,0-17 years,0,266,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/03/2021,01/01/2020,01/30/2021,Arkansas,Male,1-4 years,0,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
